gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,ap,at,ceq,che,cogs,csho,dltt,ebit,ebitda,epspx,ibc,invt,ni,nits,oancf,rect,sale,xint,costat,prcc_f
001449,12/31/2023,2023,INDL,C,D,STD,AFL,AFLAC INC,USD,1764.0000,126724.0000,21985.0000,7050.0000,13247.0000,578.4790,7364.0000,4447.0000,4482.0000,7.8100,4659.0000,0.0000,4659.0000,,3190.0000,14503.0000,17729.0000,195.0000,A,82.500000000000
001487,12/31/2021,2021,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,,596112.0000,65471.0000,,,,31353.0000,,,,,,,5318.0000,,,,1305.0000,A,56.860000000000
001487,12/31/2021,2021,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,3300.0000,596112.0000,65471.0000,23221.0000,36091.0000,818.6870,31353.0000,11322.0000,15955.0000,10.9500,9923.0000,0.0000,9388.0000,,6279.0000,134980.0000,52046.0000,1305.0000,A,56.860000000000
001487,12/31/2022,2022,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,,526634.0000,39517.0000,,,,26730.0000,,,,,,,5363.0000,,,,1125.0000,A,63.240000000000
001487,12/31/2022,2022,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,,526634.0000,39517.0000,23462.0000,34996.0000,734.1280,26730.0000,16488.0000,21336.0000,13.1600,11276.0000,0.0000,10276.0000,,4207.0000,136817.0000,56332.0000,1125.0000,A,63.240000000000
001487,12/31/2023,2023,FS,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,,539306.0000,44866.0000,,,,23056.0000,,,,,,,5266.0000,,,,1136.0000,A,67.750000000000
001487,12/31/2023,2023,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,,539306.0000,44866.0000,27260.0000,37429.0000,688.8400,23056.0000,5039.0000,9253.0000,5.0200,3878.0000,0.0000,3643.0000,,6243.0000,132228.0000,46682.0000,1136.0000,A,67.750000000000
001598,12/31/2021,2021,INDL,C,D,STD,AME,AMETEK INC,USD,470.2520,11898.1870,6871.8840,346.7720,3341.7880,231.6620,2358.2490,1308.6700,1600.7820,4.2900,990.0530,769.1750,990.0530,,1160.4570,924.4870,5546.5140,80.3810,A,147.040000000000
001598,12/31/2022,2022,INDL,C,D,STD,AME,AMETEK INC,USD,497.1340,12431.1200,7476.5120,345.3860,3685.8340,230.0510,2288.1550,1500.6920,1820.1190,5.0400,1159.5420,1044.2840,1159.5420,,1149.3730,1039.0760,6150.5300,83.1860,A,139.720000000000
001598,12/31/2023,2023,INDL,C,D,STD,AME,AMETEK INC,USD,516.5880,15023.5330,8730.1910,409.8040,3874.8490,230.9300,2077.8680,1707.4590,2045.0950,5.7000,1313.1880,1132.4710,1313.1880,,1735.2960,1153.7580,6596.9500,81.7950,A,164.890000000000
001602,12/31/2021,2021,INDL,C,D,STD,AMGN,AMGEN INC,USD,1366.0000,61165.0000,6700.0000,8037.0000,3210.0000,558.3000,33747.0000,9274.0000,12518.0000,10.3400,5893.0000,4086.0000,5893.0000,,9261.0000,5839.0000,25979.0000,1197.0000,A,224.970000000000
001602,12/31/2022,2022,INDL,C,D,STD,AMGN,AMGEN INC,USD,1572.0000,65121.0000,3661.0000,9305.0000,3115.0000,534.0000,37893.0000,10090.0000,13351.0000,12.1800,6552.0000,4930.0000,6552.0000,,9721.0000,6392.0000,26323.0000,1406.0000,A,262.640000000000
001602,12/31/2023,2023,INDL,C,D,STD,AMGN,AMGEN INC,USD,1590.0000,97154.0000,6232.0000,10944.0000,3897.0000,535.4000,63861.0000,9902.0000,13787.0000,12.5600,6717.0000,9518.0000,6717.0000,,8471.0000,7942.0000,28190.0000,2875.0000,A,288.020000000000
001632,10/31/2022,2022,INDL,C,D,STD,ADI,ANALOG DEVICES INC,USD,582.1600,50302.3500,36465.3230,1470.5720,2925.1560,509.2960,6885.9040,3858.5710,6156.0700,5.2900,2748.5610,1399.9140,2748.5610,,4475.4020,1800.4620,12013.9530,200.4080,A,142.620000000000
001632,10/31/2023,2023,INDL,C,D,STD,ADI,ANALOG DEVICES INC,USD,493.0410,48794.4780,35565.1220,958.0610,3094.8360,496.2620,6262.9170,3990.8910,6283.9940,6.6000,3314.5790,1642.2140,3314.5790,,4817.6340,1469.7340,12305.5390,264.6410,A,157.330000000000
001690,09/30/2022,2022,INDL,C,D,STD,AAPL,APPLE INC,USD,64115.0000,352755.0000,50672.0000,48304.0000,214846.0000,15943.4250,109707.0000,119437.0000,128137.0000,6.1500,99803.0000,4946.0000,99803.0000,,122151.0000,60932.0000,394328.0000,2931.0000,A,138.200000000000
001690,09/30/2023,2023,INDL,C,D,STD,AAPL,APPLE INC,USD,62611.0000,352583.0000,62146.0000,61555.0000,205637.0000,15550.0610,106548.0000,114301.0000,122801.0000,6.1600,96995.0000,6331.0000,96995.0000,,110543.0000,60985.0000,383285.0000,3933.0000,A,171.210000000000
001690,09/30/2024,2024,INDL,C,D,STD,AAPL,APPLE INC,USD,68960.0000,364980.0000,56950.0000,65171.0000,202152.0000,15116.7860,96548.0000,123216.0000,131416.0000,6.1100,93736.0000,7286.0000,93736.0000,,118254.0000,66243.0000,391035.0000,,A,233.000000000000
001704,10/31/2022,2022,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,1755.0000,26726.0000,12194.0000,2581.0000,13361.0000,844.0000,5744.0000,7822.0000,8266.0000,7.4900,6525.0000,5932.0000,6525.0000,,5399.0000,6241.0000,25785.0000,228.0000,A,88.290000000000
001704,10/31/2023,2023,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,1478.0000,30729.0000,16349.0000,6869.0000,13618.0000,833.0000,5713.0000,7676.0000,8191.0000,8.1600,6856.0000,5725.0000,6856.0000,,8700.0000,5439.0000,26517.0000,238.0000,A,132.350000000000
001773,12/31/2021,2021,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,9617.0840,19535.5400,5282.2950,222.1940,30274.6530,68.0660,2466.1980,1559.7380,1754.8580,15.2900,1110.4680,4201.9650,1108.1970,,418.9830,11123.9460,34477.0180,146.4490,A,134.270000000000
001773,12/31/2022,2022,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,10460.4190,21763.1820,5546.3570,176.9150,32287.7970,59.2490,3410.0080,2082.2350,2269.6170,22.0100,1435.1580,5319.3690,1426.8840,,-33.0770,12322.7170,37124.4220,219.3480,A,104.570000000000
001773,12/31/2023,2023,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,10070.0150,21726.1680,5805.4640,218.0530,28958.1020,53.8110,2363.6630,1492.8800,1673.9960,16.0300,909.3630,5187.2250,903.5050,,705.4490,12238.0730,33107.1200,395.1240,A,122.250000000000
001878,01/31/2022,2021,INDL,C,D,STD,ADSK,AUTODESK INC,USD,120.8000,8606.8000,849.1000,1764.1000,313.0000,218.2000,2623.7000,747.3000,892.8000,2.2600,497.0000,0.0000,497.0000,,1531.3000,716.1000,4386.4000,,A,249.790000000000
001878,01/31/2023,2022,INDL,C,D,STD,ADSK,AUTODESK INC,USD,102.0000,9438.0000,1145.0000,2072.0000,372.0000,215.0000,2581.0000,1032.0000,1180.0000,3.8100,823.0000,0.0000,823.0000,,2071.0000,961.0000,5005.0000,,A,215.160000000000
001878,01/31/2024,2023,INDL,C,D,STD,ADSK,AUTODESK INC,USD,100.0000,9912.0000,1855.0000,2256.0000,417.0000,214.0000,2559.0000,1175.0000,1311.0000,4.2300,906.0000,0.0000,906.0000,,1313.0000,876.0000,5497.0000,,A,253.810000000000
001891,06/30/2022,2022,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,110.2000,63068.2000,3225.3000,1483.3000,8946.8000,416.1000,3358.0000,3777.2000,4292.3000,7.0400,2948.9000,0.0000,2948.9000,,3099.5000,3170.6000,16498.3000,81.9000,A,210.040000000000
001891,06/30/2023,2023,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,96.8000,50971.0000,3509.1000,2098.2000,9404.1000,412.1000,3338.9000,4507.4000,5056.7000,8.2500,3412.0000,0.0000,3412.0000,,4207.6000,3009.6000,18012.2000,253.3000,A,219.790000000000
001891,06/30/2024,2024,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,100.6000,54362.7000,4547.6000,3298.8000,9914.8000,408.1000,3319.9000,4947.0000,5508.9000,9.1400,3752.0000,0.0000,3752.0000,,4157.6000,3428.2000,19202.6000,361.4000,A,238.690000000000
002019,12/31/2021,2021,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,,444438.0000,38196.0000,,,,25092.0000,,,,,,,,,,,227.0000,A,58.080000000000
002019,12/31/2021,2021,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,319694.0000,444438.0000,38196.0000,154765.0000,-4.0000,804.1450,25092.0000,7460.0000,9327.0000,4.1700,3771.0000,2.0000,3759.0000,,2838.0000,67591.0000,16158.0000,,A,58.080000000000
002019,12/31/2022,2022,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,,405783.0000,35896.0000,,,,26494.0000,,,,,,,,,,,3614.0000,A,45.520000000000
002019,12/31/2022,2022,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,278970.0000,405783.0000,35896.0000,138152.0000,3653.0000,808.4450,26494.0000,7388.0000,9024.0000,2.9100,2560.0000,2.0000,2573.0000,,15068.0000,65887.0000,19991.0000,,A,45.520000000000
002019,12/31/2023,2023,FS,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,,409953.0000,36531.0000,,,,27713.0000,,,,,,,,,,,16303.0000,A,52.050000000000
002019,12/31/2023,2023,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,283669.0000,409953.0000,36531.0000,157511.0000,16422.0000,759.3440,27713.0000,7998.0000,9746.0000,3.8900,3288.0000,5.0000,3286.0000,,5912.0000,66576.0000,33805.0000,,A,52.050000000000
002101,06/30/2022,2022,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,259.4630,2452.5880,1149.3550,184.4740,2703.7600,38.4990,729.9570,357.8580,411.4130,6.6900,257.4140,449.8210,257.4140,,187.5700,674.4790,3810.6760,26.7850,A,96.170000000000
002101,06/30/2023,2023,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,301.6850,2743.3320,1458.4370,344.0360,3125.8290,38.6570,669.6300,473.1510,526.2220,8.9800,346.7390,501.1840,346.7390,,343.9660,726.3060,4412.7940,24.7900,A,144.830000000000
002101,06/30/2024,2024,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,266.9490,2951.9100,1688.7810,460.6170,3142.7530,38.4090,676.4220,495.8230,548.1770,9.9800,385.7620,488.2580,385.7620,,371.3930,737.5260,4479.4060,20.5440,A,194.000000000000
002111,09/30/2022,2022,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,1699.0000,52934.0000,25280.0000,1167.0000,8162.0000,283.3570,14271.0000,2739.0000,4841.0000,5.4200,1635.0000,3224.0000,1779.0000,,2634.0000,2191.0000,18870.0000,373.0000,A,222.830000000000
002111,09/30/2023,2023,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,1641.0000,52780.0000,25796.0000,1489.0000,8335.0000,290.3920,15152.0000,3006.0000,5167.0000,5.1400,1530.0000,3273.0000,1484.0000,,2989.0000,2534.0000,19372.0000,503.0000,A,258.530000000000
002111,09/30/2024,2024,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,1896.0000,57286.0000,25890.0000,2301.0000,8866.0000,289.1010,18607.0000,3249.0000,5393.0000,5.8800,1705.0000,3842.0000,1705.0000,,3798.0000,3033.0000,20245.0000,593.0000,A,241.100000000000
002136,12/31/2021,2021,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,8040.0000,366596.0000,81790.0000,4033.0000,56301.0000,4197.7990,166628.0000,31742.0000,47948.0000,5.3200,22618.0000,3055.0000,22065.0000,,39539.0000,24585.0000,133613.0000,5326.0000,A,51.960000000000
002136,12/31/2022,2022,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,8750.0000,379680.0000,91144.0000,3985.0000,59133.0000,4199.8620,162234.0000,30483.0000,47582.0000,5.0600,21748.0000,2388.0000,21256.0000,,37141.0000,25162.0000,136835.0000,5643.0000,A,39.400000000000
002136,12/31/2023,2023,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,10021.0000,380255.0000,92430.0000,3334.0000,54805.0000,4204.2610,157703.0000,29653.0000,47256.0000,2.7600,12095.0000,2057.0000,11614.0000,,37475.0000,25631.0000,133974.0000,7342.0000,A,37.700000000000
002220,12/31/2021,2021,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,141.9410,17775.7950,13667.1340,875.4920,1128.1130,29.9320,186.4520,543.6550,677.4560,142.3300,4245.9020,572.2390,4245.9020,,656.5210,425.7370,2890.7020,1.5510,A,755.570000000000
002220,12/31/2022,2022,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,135.0410,13501.6660,9615.2520,1796.2450,1103.7710,29.5960,1351.3130,499.0500,636.3460,-121.7900,-3627.5350,719.3160,-3627.5350,,194.4470,506.2450,2802.2490,38.1140,A,420.490000000000
002220,12/31/2023,2023,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,144.6250,12299.0700,8741.1330,1612.8530,1100.6510,28.5190,1364.5300,355.1850,501.1340,-21.8200,-637.3240,780.5170,-637.3240,,374.9430,500.9170,2671.2620,49.4390,A,322.890000000000
002269,04/30/2022,2021,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,,,,,,,,,,,,,,,,,,,A,26.070000000000
002269,06/30/2022,2022,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,160.9290,3269.1580,211.6310,1050.7130,1739.0840,159.9300,1715.6960,744.8970,887.0750,3.3100,560.6460,0.0000,553.6740,,808.5370,261.2850,3463.2700,88.2820,A,35.320000000000
002269,06/30/2023,2023,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,159.9010,3072.2580,32.0640,1015.3160,1792.9510,146.1500,1729.5170,748.6980,879.1990,3.6300,561.8000,0.0000,553.7000,,821.8410,95.8970,3472.1850,72.9780,A,31.870000000000
002269,06/30/2024,2024,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,155.8300,3218.8100,90.5940,1075.1930,1869.7820,139.5910,1756.4680,805.2770,927.0610,4.2000,597.9630,0.0000,595.3170,,720.8600,69.0750,3610.3470,79.0800,A,54.230000000000
002285,12/31/2021,2021,INDL,C,D,STD,BA,BOEING CO,USD,9261.0000,138552.0000,-14999.0000,16244.0000,55110.0000,588.9170,58077.0000,-1016.0000,756.0000,-7.1500,-4290.0000,78823.0000,-4202.0000,,-3416.0000,11378.0000,62272.0000,2790.0000,A,201.320000000000
002285,12/31/2022,2022,INDL,C,D,STD,BA,BOEING CO,USD,10200.0000,137100.0000,-15883.0000,17220.0000,59688.0000,597.5900,53116.0000,-1756.0000,-119.0000,-8.3000,-5053.0000,78151.0000,-4935.0000,,3512.0000,11325.0000,66608.0000,2650.0000,A,190.490000000000
002285,12/31/2023,2023,INDL,C,D,STD,BA,BOEING CO,USD,11964.0000,137012.0000,-17233.0000,15965.0000,66980.0000,609.5150,48621.0000,706.0000,2269.0000,-3.6700,-2242.0000,79741.0000,-2222.0000,,5960.0000,11091.0000,77794.0000,2560.0000,A,260.660000000000
002403,12/31/2021,2021,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,2949.0000,109314.0000,35946.0000,17361.0000,8601.0000,2176.0000,40479.0000,8825.0000,19584.0000,3.1500,7014.0000,2095.0000,6994.0000,,16207.0000,12516.0000,46385.0000,1334.0000,A,62.350000000000
